"year","Obs_sd","crop","treatment_scen","Model","yield_val"
2003,NA,"Cotton","Cover Crop, Crop Rotation","Observed",NA
2003,NA,"Cotton","Cover Crop, Crop Rotation","APSIM",0.947
2003,NA,"Cotton","Cover Crop, Crop Rotation","Daycent",0
2005,0.0794922690161334,"Cotton","Cover Crop, Crop Rotation","Observed",0.948555555555556
2005,NA,"Cotton","Cover Crop, Crop Rotation","APSIM",0.99
2005,NA,"Cotton","Cover Crop, Crop Rotation","Daycent",1.09765333333333
2007,0.140074660427313,"Cotton","Cover Crop, Crop Rotation","Observed",1.23559259259259
2007,NA,"Cotton","Cover Crop, Crop Rotation","APSIM",1.039
2007,NA,"Cotton","Cover Crop, Crop Rotation","Daycent",0.482893333333333
2008,0.0701652205798026,"Cotton","Cover Crop, Crop Rotation","Observed",0.34137037037037
2008,NA,"Cotton","Cover Crop, Crop Rotation","APSIM",0.964
2008,NA,"Cotton","Cover Crop, Crop Rotation","Daycent",1.25160222222222
2009,NA,"Cotton","Cover Crop, Crop Rotation","Observed",NA
2009,NA,"Cotton","Cover Crop, Crop Rotation","APSIM",0.631
2009,NA,"Cotton","Cover Crop, Crop Rotation","Daycent",0.430717777777778
2010,0.0709814138427174,"Cotton","Cover Crop, Crop Rotation","Observed",0.934777777777778
2010,NA,"Cotton","Cover Crop, Crop Rotation","APSIM",0.922
2010,NA,"Cotton","Cover Crop, Crop Rotation","Daycent",0.897862222222222
2004,0.357088469222284,"Sorghum","Cover Crop, Crop Rotation","Observed",0.999701061343501
2004,NA,"Sorghum","Cover Crop, Crop Rotation","APSIM",2.481
2004,NA,"Sorghum","Cover Crop, Crop Rotation","Daycent",5.93793777777778
2006,NA,"Sorghum","Cover Crop, Crop Rotation","Observed",NA
2006,NA,"Sorghum","Cover Crop, Crop Rotation","APSIM",0.961
2006,NA,"Sorghum","Cover Crop, Crop Rotation","Daycent",NA
2007,0.0603195643691084,"Sorghum","Cover Crop, Crop Rotation","Observed",0.091537037037037
2007,NA,"Sorghum","Cover Crop, Crop Rotation","APSIM",NA
2007,NA,"Sorghum","Cover Crop, Crop Rotation","Daycent",2.12983777777778
2003,NA,"Cotton","Rmv Resid 0%, Crop Rotation","Observed",NA
2003,NA,"Cotton","Rmv Resid 0%, Crop Rotation","APSIM",NA
2003,NA,"Cotton","Rmv Resid 0%, Crop Rotation","Daycent",0
2004,0.109885644823478,"Cotton","Rmv Resid 0%, Crop Rotation","Observed",0.599574074074074
2004,NA,"Cotton","Rmv Resid 0%, Crop Rotation","APSIM",0.654
2004,NA,"Cotton","Rmv Resid 0%, Crop Rotation","Daycent",3.11258888888889
2006,0.0210326209012407,"Cotton","Rmv Resid 0%, Crop Rotation","Observed",0.171648148148148
2006,NA,"Cotton","Rmv Resid 0%, Crop Rotation","APSIM",1.422
2006,NA,"Cotton","Rmv Resid 0%, Crop Rotation","Daycent",0.157568888888889
2008,0.0930192425001872,"Cotton","Rmv Resid 0%, Crop Rotation","Observed",0.411814814814815
2008,NA,"Cotton","Rmv Resid 0%, Crop Rotation","APSIM",0.816
2008,NA,"Cotton","Rmv Resid 0%, Crop Rotation","Daycent",1.50766444444444
2010,0.0470587694035637,"Cotton","Rmv Resid 0%, Crop Rotation","Observed",1.00688888888889
